full_name,Player_ID,Team 1,Original_Team_ID,Team 2,Traded_Team_ID
Precious Achiuwa,1630173,TOR,1610612761,NYK,1610612752
Ochai Agbaji,1630534,UTA,1610612762,TOR,1610612761
Marvin Bagley III,1628963,DET,1610612765,WAS,1610612764
Dalano Banton,1630625,BOS,1610612738,POR,1610612757
RJ Barrett,1629628,NYK,1610612752,TOR,1610612761
Patrick Beverley,201976,PHI,1610612755,MIL,1610612749
Bojan Bogdanovic,202711,DET,1610612765,NYK,1610612752
Bruce Brown,1628971,IND,1610612754,TOR,1610612761
Alec Burks,202692,DET,1610612765,NYK,1610612752
Spencer Dinwiddie,203915,BKN,1610612751,TOR,1610612761
Simone Fontecchio,1631323,UTA,1610612762,DET,1610612765
Daniel Gafford,1629655,CHA,1610612766,DAL,1610612742
Jordan Goodwin,1630692,PHX,1610612756,BKN,1610612751
Quentin Grimes,1629656,NYK,1610612752,DET,1610612765
Gordon Hayward,202330,CHA,1610612766,OKC,1610612760
Buddy Hield,1627741,IND,1610612754,PHI,1610612755
Kyle Lowry,200768,MIA,1610612748,PHI,1610612755
Chimezie Metu,1629002,PHX,1610612756,MEM,1610612763
Vasilije Micic,203995,DAL,1610612742,CHA,1610612766
Kelly Olynyk,203482,UTA,1610612762,TOR,1610612761
Cameron Payne,1626166,MIA,1610612748,PHI,1610612755
Immanuel Quickley,1630193,NYK,1610612752,TOR,1610612761
David Roddy,1631223,MEM,1610612763,PHX,1610612756
Terry Rozier,1626179,CHA,1610612766,MIA,1610612748
Dennis Schroder,203471,BKN,1610612751,TOR,1610612761
Pascal Siakam,1627783,TOR,1610612761,IND,1610612754
Xavier Tillman,1630214,MEM,1610612763,BOS,1610612738
P.J. Washington,1629023,CHA,1610612766,DAL,1610612742
Grant Williams,1629684,DAL,1610612742,CHA,1610612766
